mjq	35000
hro	35000
snj	34500
iu	34100
kwx	34000
xub	32000
lld	31000
mrj	30000
mmk	30000
kfh	29000
lkr	28000
ttt	28000
kpb	26000
srm	26000
sme	25000
cde	26000
haw	24000
kep	24000
sle	24000
sva	30000
lzz	22000
wae	20000
kfc	20000
cje	19000
kev	19000
mjo	19000
sab	18000
muv	17000
mpi	16000
mwl	15000
brl	15000
nlx	15000
gdb	15000
san	14135
kfd	14000
ssn	13000
hsb	13000
dhv	13000
mjr	12600
zau	12000
chp	12000
chr	13500
cho	10400
bis	10000
wkb	10000
nit	10000
frr	10000
kca	9600
pcf	9500
nen	8700
gau	8000
bxb	8000
ymr	7800
nik	7500
pri	7300
dwa	7200
mhd	7000
dsb	6900
thu	6600
nau	6000
mjp	5900
crv	5900
ane	5700
aji	5400
mus	5000
ctt	5000
era	5000
orr	5000
ije	4800
nkx	4550
rop	4200
iai	4078
huq	4000
kef	4000
mha	4000
okd	3600
udg	3400
thn	3000
ncb	3400
cam	2600
cpg	2800
kfg	2800
mue	2600
nua	2400
den	2350
kdk	2200
dgr	2100
chy	2100
tef	2080
yly	2000
kej	2000
duf	2000
nll	2000
ipk	2000
two	2000
fwa	1900
tiw	1700
vep	1600
tcx	1600
gct	1500
txo	1411
smj	2000
pkr	1400
msq	1200
nee	1100
stq	1000
gjr	1000
brw	1000
ima	1000
wku	1000
pty	1000
jaz	990
mns	940
kfe	930
ncb	930
nem	910
clc	860
axx	760
wkl	750
crg	725
crx	680
caf	680
gwi	670
ikt	630
sma	600
gue	592
hoy	500
bpk	490
hvk	450
bwa	450
bcr	430
pih	430
sii	400
dal	400
all	350
tce	350
ttm	350
sjd	340
sms	320
aek	300
koy	300
smn	300
pme	290
mrk	200
aaf	200
mik	190
nud	180
piz	180
srs	170
aqr	170
bea	160
vis	150
nek	130
tau	110
tsd	300
mkt	100
aht	80
tfn	75
tcb	60
rmi	50
tht	45
ing	40
kuu	40
sje	50
pop	40
sek	30
sju	20
haa	20
sih	19
taa	15
kkz	15
lbz	10
aok	10
mud	12
gyd	25
yuc	4
sjt	2
tgx	1
